,location,In_autonomy,Description
139,799 14th Ave,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling eastbound on Fulton Street in the leftmost lane between 14th Avenue and Park Presidio Boulevard. A Toyota Sienna traveling southbound on 14th Avenue made an unprotected left turn to merge onto eastbound Fulton Street. The Cruise AV braked prior to the Cruise AV operator disengaging the Cruise AV from autonomous mode. The Cruise AV operator continued to brake but, shortly thereafter, the Toyota Sienna made contact with the Cruise AV, damaging the front left fender of the Cruise AV. Police were not called to the scene and no injuries were reported."
140,1398 Folsom St,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling eastbound on Folsom Street in the leftmost lane between 9th Street and 10th Street. At the same time, a Model 3 Tesla traveling in the adjacent center lane veered into the Cruise AV’s lane without a turn signal. Shortly thereafter, contact was made with the Cruise AV’s front passenger side quarter panel and mirror, damaging the front passenger side quarter panel, front passenger side mirror and front passenger side radar assembly. The parties exchanged information and there were no reported injuries."
142,810 10th St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was at a complete stop in response to a red light on 10th Street at the intersection with Division Street. The Cruise AV began to make a right turn onto Division Street after the light turned green  before yielding to a pedestrian in the crosswalk. Shortly thereafter, a silver Infiniti Sedan traveling behind the Cruise AV made contact with the Cruise AV’s rear bumper, causing damage to the Cruise AV’s rear fascia. The driver of the Infiniti Sedan left the scene without exchanging information. There were no reported injuries."
146,1121 Folsom St,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling eastbound on Folsom Street between 8th Street and Langton Street. As the Cruise AV approached the intersection with Langton Street, the Cruise AV traveled over a pothole, which blew out the front driver side tire and caused the Cruise AV to veer into the adjacent parking lane. Shortly thereafter, the Cruise AV made contact with a parked Subaru Impreza, causing damage to the Cruise AV’s front passenger side quarter panel, front passenger side fascia, front driver side tire and rear passenger side quarter panel. Police and Emergency Medical Services were called and the Cruise AV was towed from the scene. The passenger of the Cruise AV was assessed by medical personnel at the scene but was not transported by Emergency Medical Services."
147,2275 Revere Ave,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling southbound on Revere Avenue between Industrial Street and Selby Street. The Cruise AV came to a stop behind a GMC Yukon that was stopped diagonally in the Cruise AV’s lane of travel. After the Cruise AV came to a complete stop, the GMC Yukon began reversing further into the Cruise AV’s lane and made contact with the Cruise AV, damaging the front bumper fascia of the Cruise AV. The parties exchanged information and there were no reported injuries."
148,2181 Harrison St,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling northbound on Harrison St. between 18th Street and 19th Street. As the Cruise AV was coming to a stop for a stop sign at the intersection with 18th Street, a van approaching from the rear failed to stop behind the Cruise AV and made contact with the Cruise AV's rear bumper, damaging the rear bumper of the Cruise AV. Police and Emergency Medical Services were called and the Cruise AV was towed from the scene. The driver of the van was transported by Emergency Medical Services for further evaluation."
149,3164 Sacramento St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling eastbound on Sacramento Street between Lyon Street and Baker Street. The Cruise AV approached a motorized articulating boom lift (“ABL”), which was stopped in the Cruise AV’s lane of travel. As the Cruise AV began to maneuver around and to the left of the ABL, the Cruise AV made contact with the arm of the ABL, which was elevated above the roadway. This caused damage to the Cruise AV’s roof Lidar assembly. There were no reported injuries."
150,3376 19th St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling westbound on 19th Street between Capp Street and Mission Street. The Cruise AV slowed to a stop due to a pedestrian on a scooter who entered the lane of traffic in front of the AV and started proceeding in circles. Shortly thereafter, the pedestrian approached the stopped Cruise AV, placed the scooter on the ground in front of the Cruise AV’s front passenger side tire, and walked away off the roadway. After the pedestrian left, the Cruise AV attempted to proceed forward and made contact with the abandoned scooter. There were no damages to the Cruise AV and there were no reported injuries."
153,190 Franklin St,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling northbound on Franklin Street in the second rightmost lane between Hayes Street and Fell Street. At the same time, a white Kia Forte traveling in the adjacent center lane veered into the Cruise AV’s lane without a turn signal. Shortly thereafter, contact was made with the Cruise AV’s driver side front and rear passenger door, damaging the driver side front and rear passenger door of the Cruise AV. The driver of the white Kia Forte left the scene without exchanging information. There were no reported injuries."
154,425 McAllister Street,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling eastbound on McAllister Street between Van Ness Avenue and Polk Street. As the Cruise AV was slowing for a red light at the intersection with Polk Street, an Infiniti Q60 traveling westbound on McAllister Street failed to stop for the red light, entered the intersection, and made contact with a black sedan traveling southbound on Polk Street that entered the intersection on a green light. The Infiniti Q60 spun after contact and continued into the Cruise AV, damaging the front bumper fascia of the Cruise AV. The driver of the Infiniti Q60 was transported by police. There were no reported injuries and both the Infiniti Q60 and the black sedan were towed from the scene."
155,425 McAllister Street,1,"This page is additional information reflecting the other party involved, and is in relation to the other vehicle, the Infiniti Q60 (""Vehicle 2""). The narrative for the accident details remains the same as the narrative for ""Vehicle 2"" page. On the following page, the check marks refer to Vehicle 2 (Infiniti Q60) and Vehicle 3 (Sedan)."
156,1698 Van Ness Ave,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling northbound on Van Ness Avenue between California Street and Sacramento Street. As the Cruise AV was passing through the intersection with Sacramento Street on a green light, a bag lying on the roadway blew in front of the Cruise AV. The Cruise AV braked for the object, and a white pickup truck traveling behind the Cruise AV rear-ended the Cruise AV, damaging the rear right bumper, rear right quarter panel, and rear windshield. The driver of the white pickup truck left the scene without exchanging information. There were no reported injuries and the Cruise AV was towed."
157,3309 Mission St,1,"A Cruise autonomous vehicle (“AV”), operating in driverless autonomous mode, was traveling northbound on Mission Street between Virginia Avenue and 29th Street. As the AV was yielding to oncoming traffic in preparation to make a left turn onto westbound 29th Street on a green light, a dark-colored BMW Sedan traveling behind the AV failed to stop and rear-ended the AV, damaging the rear passenger side bumper fascia and rear passenger side wheel molding of the AV. The driver of the dark-colored BMW Sedan left the scene without exchanging information. There were no reported injuries."
158,901 Pennsylvania Ave,1,"A Cruise autonomous vehicle (“AV”), operating in driverless autonomous mode, was traveling northbound on Pennsylvania Avenue between 23rd Street and 25th Street when the AV approached a double-parked semi-trailer truck in the AV’s lane of travel. The AV began to maneuver around and to the left of the semi-trailer truck and came to a stop for a stop sign at the intersection with 23rd Street. At the same time, the semi-trailer truck proceeded forward and, shortly thereafter, made contact with the AV. This caused damage to the front passenger side bumper fascia of the AV. The parties exchanged information and there were no reported injuries."
159,131 Albion St,1,"A Cruise autonomous vehicle (“AV”), operating in driverless autonomous mode, was traveling southbound on Albion Street between 16th Street and Camp Street. At the same time, a Ford pickup truck was traveling northbound on Albion Street partially in the AV’s lane of travel. The AV stopped due to limited space to proceed forward due to the encroaching Ford pickup truck, and, shortly thereafter, the Ford pickup truck made contact with the AV, damaging the AV’s rear driver side bumper fascia, rear driver side quarter panel and rear driver side wheel molding. The driver of the Ford pickup truck left the scene without exchanging information. There were no reported injuries."
160,2100 17th St,1,"A Cruise autonomous vehicle (""AV""), operating in driverless autonomous mode, was at a complete stop in response to a stop sign on eastbound 17th Street at the intersection with Vermont Street. As the AV began to proceed straight, a gray Honda Odyssey traveling westbound on 17th Street on the opposite side of the intersection from the AV entered the intersection and veered into the AV’s lane of travel. The AV stopped in response as the Honda Odyssey continued traveling in the AV’s lane of travel through the intersection and, shortly thereafter, the Honda Odyssey made contact with the AV, damaging the front and rear driver side doors, front driver side radar assembly and rear driver side tire of the AV. The parties exchanged information. There were no reported injuries and the AV was towed from the scene."
161,3401 26th St,1,"A Cruise autonomous vehicle (“AV”), operating in driverless autonomous mode, was at a complete stop in response to a red light on eastbound 26th Street at the intersection with Mission Street. As the AV was proceeding after the light turned green, a Dodge Charger traveling southbound on Mission Street failed to stop for the red light, entered the intersection, and made contact with the AV, damaging the front and rear driver side and rear bumper fascia of the AV. Police and Emergency Medical Services (EMS) were called to the scene. The AV was towed from the scene. The passenger of the Dodge Charger was assessed by medical personnel at the scene and was not transported by EMS."
162,215 Bush St,1,"A Cruise autonomous vehicle (""AV""), operating in driverless autonomous mode, was at a complete stop in response to a red light on eastbound Bush Street in the second leftmost lane at the intersection with Sansome Street. As the AV attempted to maneuver into the left turn lane, the AV slowed to a complete stop. A delivery truck traveling behind and to the left of the AV proceeded forward and attempted to drive past the AV on the left. Shortly thereafter, the delivery truck made contact with the AV, damaging the AV’s front driver side bumper fascia and front driver side wheel opening molding. The driver of the delivery truck left the scene without exchanging information. There were no reported injuries."
164,453 2nd St,1,"A Cruise autonomous vehicle (“AV”), operating in driverless autonomous mode, was traveling northbound on 2nd Street between Stillman Street and Bryant Street. As the AV was approaching the intersection with Stillman Street, a blue Model 3 Tesla exited out of a parking garage into the AV’s lane of travel. The AV braked and, shortly thereafter, the AV made contact with the Model 3 Tesla, damaging the AV’s front bumper fascia and front passenger side wheel opening molding. The driver of the Model 3 Tesla left the scene without exchanging information. There were no reported injuries. The driver of the Model 3 Tesla later reported damages."
165,308 Scott St,1,"A Cruise autonomous vehicle (""AV""), operating in driverless autonomous mode, was stopped for a passenger pick-up in the AV’s lane of travel on northbound Scott Street between Oak Street and Page Street. After picking up the passenger while the AV remained stopped, a white Mercedes-Benz Metris reversed out of a driveway and made contact with the AV, damaging the AV’s front driver side door and front driver side auxiliary mirror. The parties exchanged information and there were no reported injuries."
169,HWY 17 Northbound near Hamman Park,1,"A Ghost ADS-equipped car was driving engaged Northbound on Highway 17. As always, there were two safety drivers in the car. Traffic was moving in all four lanes at or near the speed limit. The Ghost vehicle was in the right-middle lane. Another vehicle (the ""lead"" car) entered into the Ghost car's lane from the right. While there were numerous vehicles ahead of the Ghost car before that vehicle entered the lane, the lead vehicle blocked the view of the lane before it. Throughout the incident, traffic in the other three lanes continued at a steady pace. When the lead vehicle entered into the lane ahead of the Ghost car, the Ghost car applied the brakes to accommodate the intrusion and then continued to match the speed of the lead car. The lead car suddenly slammed the brakes. The Ghost car followed suit, reducing its speed from 19 mps (42.5 mph) to 4.7 mps (10.5 mph) within the next three seconds. The Ghost car was able to match the rapid speed reduction of the lead car and avoid contact. The driver following the Ghost car was not able to respond as quickly as the Ghost ADS. When the following driver began to apply the brakes, the car was about five meters behind and was traveling at 6.5 mps. At the point of impact, the Ghost vehicle was traveling at 4.78 mps (10.7 mph), matching the lead car. There were no injuries. The vehicles suffered only cosmetic damage, the drivers exchanged information, and the Ghost safety drivers returned to home base in conventional mode."
171,S. Van Ness Ave between 12th St. and 13th St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northbound on South Van Ness Street near the Howard Street fork when another vehicle, turning right onto South Van Ness from Howard, made contact with the right rear corner of the Cruise AV, causing damage to the Cruise AV’s rear bumper.  There were no injuries and police were not called."
173,Gough St. and Rose St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southbound on Gough Street between Rose and Haight Streets when another vehicle, following closely behind the Cruise AV, made contact with the rear center bumper of the Cruise AV, damaging two fastening clips on the underside of the Cruise AV’s rear bumper. There were no injuries and police were not called."
174,16th St. and Guerrero St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was making a right turn from 16th Street onto northbound Guerrero Street when another vehicle, entering traffic from a curbside parked position on westbound 16th Street, made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s rear right bumper, wheel well, and rear parking sensor.  The driver of the other vehicle drove away without exchanging information. There were no injuries and police were not called."
175,Eddy St. and Leavenworth St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was proceeding westbound on Eddy Street at the intersection with Leavenworth Street when another vehicle made contact with the center rear bumper of the Cruise AV, damaging the Cruise AV’s left center rear bumper and radar connector.  Police were not called and no injuries were reported at the scene by either party.  Both of the Cruise AV testers sitting in passenger seats later sought medical attention for neck stiffness."
179,Lyon St. and California St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was approaching the intersection prior to making a left turn from southbound Lyon Street onto eastbound California Street when the Cruise AV yielded to an overtaking vehicle on its left proceeding straight on southbound Lyon. Once the overtaking vehicle completed its pass, the Cruise AV attempted to continue its left turn when another vehicle directly behind the Cruise AV, attempting to turn right on California, made contact with the Cruise AV’s right rear bumper, damaging the bumper. There were no injuries and police were not called."
182,24th St. and Potrero Ave,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a red light on eastbound 24th Street at the intersection with Potrero Avenue when another vehicle approaching from the rear did not come to a complete stop and made contact with the Cruise AV’s rear bumper. The driver of the other vehicle drove away without exchanging information. The Cruise AV tester sitting in the driver’s seat requested medical treatment and emergency services arrived on the scene. SFPD incident report number  was not available at the time of filing of this report."
184,Duboce Ave between Steiner St and Sanchez St,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling from southbound Steiner Street to southbound Sanchez Street via eastbound Duboce Avenue when a skateboarder traveling through the stop sign on eastbound Duboce made contact with the rear passenger door of the Cruise AV. The skateboarder left the scene without exchanging information. There were no injuries and police were not called."
185,Franklin St. and Bay St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a red light on northbound Franklin Street at the intersection with Bay Street when a lane-splitting  motorcycle made contact with the Cruise AV’s front right articulating radar, damaging the cover. The motorcyclist did not stop. There were no injuries and police were not called."
187,Euclid Ave. and Palm Ave.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was about to make a left turn after stopping at the four-way stop sign on westbound Euclid Avenue at the intersection with Palm Avenue when another vehicle made contact with the rear bumper of the Cruise AV. Police were not called and no injuries were reported at the scene by either party. Two of the Cruise AV testers sitting in the driver and front passenger seats later mentioned injuries."
188,Geary Blvd between 8th Ave and 9th Ave,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was changing lanes into the left turn lane on eastbound Geary Boulevard between 8th and 9th Avenues when the Cruise AV slowed down.  The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle  changing into the same lane made contact with the rear bumper of the Cruise AV, damaging the Cruise AV’s bumper.  There were no injuries and police were not called."
189,Clay St. and Van Ness Ave.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling eastbound on Clay Street through the intersection with Van Ness Avenue when another vehicle made contact with the rear right bumper of the Cruise AV, damaging the Cruise AV’s right brake light assembly. There were no injuries and police were not called."
191,Divisadero St. and Bush St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southbound on Divisadero Street between Pine and Bush Streets when another vehicle made contact with the left rear bumper of the Cruise AV, damaging the bumper and left tail light. There were no injuries and police were not called."
194,10th Ave and California St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was making a right turn from northbound 10th Avenue onto eastbound California Street when another vehicle made contact with the Cruise AV’s left rear bumper, damaging the upper rear fascia and lower tail light assembly. The driver of the other vehicle drove away without exchanging information. Police were not called and no injuries were reported at the scene by either party. The Cruise AV tester sitting in the driver seat did not report injuries on the scene but later mentioned injuries."
195,Bryant St. and 10th St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was making a right turn from northeast bound Bryant Street onto southeast bound 10th Street when another vehicle made contact with the Cruise AV’s left rear corner, damaging the upper left tail lamp assembly. There were no injuries and police were not called."
196,Duboce Ave between Guerrero St. and Market St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Duboce Avenue between Guerrero Street and Market Street when another vehicle made contact with the Cruise AV’s left rear corner, damaging the lower left tail lamp assembly and left rear wheel well. There were no injuries and police were not called."
197,Grant St. and Clay St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northbound on Grant Street between Clay and Washington Streets when another vehicle, completing a left turn from Clay onto Grant, made contact with the left rear corner of the Cruise AV, damaging the left lower tail lamp and rear fascia. The driver of the other vehicle drove away without exchanging information. There were no injuries and police were not called."
198,Steiner St. and Bush St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was waiting for oncoming traffic to clear the intersection before making a left turn onto Bush Street from southbound Steiner Street when another vehicle made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia, bumper, and wheel well. There were no injuries and police were not called."
199,10th St. between Market St. and Mission St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling on southeast bound 10th Street between Market and Jessie Streets when another vehicle changing into the same lane made contact with the left rear corner of the Cruise AV, damaging the Cruise AV’s left rear bumper and wheel well. There were no injuries and police were not called."
206,24th St. between Noe St. and Sanchez St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling eastbound on 24th Street between Noe and Sanchez Streets when the Cruise AV yielded to a jaywalking pedestrian and for clearance to maneuver around a double-parked vehicle immediately ahead of it. While the Cruise AV waited, another vehicle pulling out of a driveway and into the Cruise AV’s lane made contact with the left rear corner of the Cruise AV, damaging the Cruise AV’s left rear bumper, fender, and radar. There were no injuries and police were not called."
208,Geary Blvd between 33rd Ave and 32nd Ave,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Geary Boulevard between 32nd and 33rd Avenues when another vehicle, traveling in the right adjacent lane, changed into the same lane as the Cruise AV and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and bumper. There were no injuries and police were not called."
211,Geary Blvd and Palm Ave.,1,"A Cruise autonomous vehicle (“Cruise AV), operating in autonomous mode, was yielding to oncoming traffic prior to making a left turn onto northbound Palm Avenue from eastbound Geary Boulevard when another vehicle made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. The Cruise AV tester sitting in the front passenger seat later mentioned neck pain."
213,10th St. and Bryant St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northeast bound on Bryant Street between 11th and 10th Streets when the Cruise AV yielded to a parallel parking vehicle ahead on the right. Shortly thereafter, a lane-splitting electric scooterist attempting to change lanes made contact with the left rear corner of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. The electric scooterist later reported injuries."
220,Medical Foundation Dr and El Camino Blvd.,0,"On November 19, 2019 at approximately 2:04pm in clear weather, a Lyft Autonomous Vehicle (“Lyft AV”) was travelling at 29.6mph in autonomous mode northbound in the right lane on El Camino Real Blvd in Palo Alto, CA when the Safety Driver commanded manual mode with steering and brake inputs in immediate reaction to the third party vehicle in the adjacent center lane abruptly cutting in to the AV's lane, apparently attempting to make a last-second right turn onto Medical Foundation Drive.  Approximately 1.5 seconds later, the third party vehicle collided with AV which was then travelling at 14mph. The third party passenger vehicle made contact with the Lyft AV’s front left lidar sensor and the driver side fender.  Damage was limited to the third party’s passenger side door and passenger side fender, and the Lyft AV’s front bumper, left bumper lidar sensor and driver side fender. No injuries were reported and law enforcement was not called."
222,HARRISON & 1 ST,1,"On April 14, 2021 at 9:38am, AV104 driving in autonomous mode in San Francisco, California, experienced longitudinal contact from a Toyota sedan at the intersection of First and Harrison Streets. The AV was moving at 9mph in the right lane and slowing to begin to execute a right turn, when the Toyota sedan “side-swiped” the left front lidar unit on the AV while overtaking at a greater speed from the left adjacent lane.  The AV vehicle sustained moderate property damage to the lidar unit, mount, and front fender/bumper.  The driver of the Toyota did not stop*.  There are no known injuries, and Lyft does not know what (if any) damage was sustained by the Toyota. *Note: this lane merges onto a freeway ramp and may not have provided a place to safely pull over."
225,605N HWY,1,"The subject Mercedes-Benz DRIVE PILOT test vehicle was traveling between 15 – 20 mph in the #2 northbound lane on the 605 Freeway in California in stop and go traffic with the L3 ADS activated by the driver. The vehicle’s ADS determined that a truck traveling in the adjacent lane had a trajectory towards the Drive Pilot’s lane, and so the Mercedes-Benz test vehicle autonomously applied the brakes to avoid a collision.  After applying the brakes and bringing itself to a standstill, the Mercedes-Benz was then struck in the rear bumper by a trailing semi-truck that did not stop in time.  No injuries were reported, no airbags deployed in either vehicle, and both vehicles were able to be driven from the scene of the incident. The Mercedes-Benz vehicle experienced minor damage to the rear bumper, and no damage was observed on the semi-truck at the scene. The CA Traffic Collision Report for the subject incident noted a violation of California Vehicle Code 22350 (unsafe speed for traffic conditions) by the semi-truck in the #2 lane that struck the rear bumper of the Mercedes-Benz."
229,710 S Fwy and Atlantic Blvd,1,"While departing from a standstill in heavy traffic with L3 ADS engaged, the subject Mercedes-Benz vehicle was struck in the rear bumper by a large semi-truck. No injuries were reported. The contact from the truck resulted in two minor scratches and two indentations on the rear bumper of the subject Mercedes-Benz.  The driver of the truck did not pull over after the collision and departed the scene.  After a police report was initiated, the subject Mercedes-Benz drove away from the incident location. Further inspection of the vehicle revealed no additional damage beyond the cosmetic dents and surface scratches on the Mercedes-Benz."
235,Cross street: Terra Bella and Shoreline,1,"On Friday, January 12th, a Nuro Prius operating autonomously was stopped at a red light at the intersection of Shoreline and Terra Bella Ave. A Mazda approaching the intersection failed to completely stop and rear-ended the Nuro Prius. No injuries were reported. Both vehicles sustained minor damage."
240,Intersection of Jamboree Rd and MacArthur Blvd,1,"The Pony.ai autonomous vehicle (""Pony.ai AV"") stopped at a red light on the corner of Jamboree Rd and MacArthur Blvd, preparing to make a right tum on red. The Pony.ai AV crept into the intersection before stopping to yield to oncoming traffic. While stopped, the Pony.ai AV was rear-ended by the vehicle behind it (""Vehicle 2""). The contact between the vehicles caused a moderate dent to the back of the Pony.ai AV and minor damage to Vehicle 2. Both drivers pulled over to the side of the roadway and exchanged information. There were no injuries reported and the police were not called. The driver of Vehicle 2 admitted complete fault and responsibility."
241,301 Ranch Dr,1,"On April 11, 2022, while in supervised (“Drivered”) autonomous mode, a Pony.ai Autonomous Vehicle was parked in a parking lot when a passenger vehicle reversed into the Pony.ai vehicle. The Pony.ai vehicle sustained minor damage to the driver’s side rear door. There were no injuries or other property damage, the police were not called to the scene, and the Pony.ai vehicle was driven back to Pony.ai’s Fremont facility."
242,30407 Arroyo Dr,1,"On May 17, 2022, a passenger vehicle reversed out of a parking spot into a Pony.ai autonomous testing vehicle’s rear bumper. At the time of the collision, the Pony.ai vehicle was operating in autonomous mode with a safety operator in the driver’s seat and was moving at a low speed. The Pony.ai vehicle did not sustain any damage. There were no injuries or property damage, the police were not called to the scene, and a Pony.ai employee drove the Pony.ai vehicle back to Pony.ai’s Irvine facility."
243,Southbound on Fremont Blvd past Cushing Pkwy,1,"On October 28, 2021, after turning right onto Fremont Blvd from Cushing Pkwy, the Pony.ai Autonomous Vehicle (""Pony.ai AV"") performed a left lane change maneuver in autonomous mode. While performing the lane change, the Pony.ai AV came into contact with a center divider on Fremont Blvd. and the traffic sign that was posted on the divider.  The Pony.ai AV suffered moderate damage to the front of the vehicle and the undercarriage. There were no injuries and no other vehicles involved.  Fremont Police Department were called to report the incident and the damaged street sign.  Pony.ai has subsequently worked with local authorities to resolve all issues related to the damaged sign."
244,Warren Ave & Kato Rd,1,"On June 5, 2023, while in supervised (“Drivered”) autonomous mode, a Pony.ai AV was rear-ended twice by a passenger vehicle at the intersection of Warren Ave and Kato Road in Fremont, CA. The Pony.ai AV was stopped at a red stop light when the passenger vehicle directly behind the Pony.ai AV proceeded to rear-end the Pony.ai AV two times in quick succession. The Pony.ai safety operator disengaged the Pony.ai AV from autonomous mode, and,  concerned for his own safety, immediately drove the vehicle back to the Pony.ai Fremont office (a distance of approximately 1 mile). The passenger vehicle which had rear-ended the Pony.ai AV followed  the Pony.ai AV back to Pony.ai’s Fremont office. After a brief interaction during which the driver of the passenger vehicle threatened Pony.ai employees, the passenger vehicle and driver drove away. The Fremont police took a report about the incident. There were no injuries reported."
246,Corner of Harvard and Barranca,1,"The Pony.ai autonomous vehicle (""Pony.ai AV"") stopped at a red light on the corner of Harvard Ave and Barranca Parkway, preparing to make a right turn on red. The Pony.ai AV crept into the intersection before stopping to yield to oncoming traffic. While stopped, the Pony.ai AV was rear-ended by the vehicle behind it (""Vehicle 2""). The contact between the vehicles caused a moderate dent to the back of the Pony.ai AV and minor damage to Vehicle 2. Both drivers pulled over to the side of the roadway and exchanged information. There were no injuries reported and the police were not called."
247,Pine Street at Cameron Hills Drive,0,"A Pony.AI autonomous vehicle (""Pony AV"") in autonomous mode was traveling southbound on Pine Street heading towards Cameron Hills Drive.  A passenger vehicle traveling southbound behind the Pony AV crossed the traffic line and entered the northbound lane of Pine Street in an attempt to pass the Pony AV.  The Pony AV's speed remained consistent.  After passing the Pony AV by about a quarter car length, the passenger vehicle abruptly turned back into the southbound lane of Pine Street such that it was in very close proximity to the front of the Pony AV.  The passenger vehicle then suddenly decelerated.  The Pony AV's safety driver disengaged autonomous mode and manually applied the brake.  As a result of the passenger vehicle's sudden deceleration, the Pony AV's front-left bumper made contact with the back-right bumper of the passenger vehicle causing minor scratches to both vehicles.  The safety driver of the Pony AV and the driver of the passenger vehicle stopped to exchange information.  No injuries were reported and the police were not called."
249,Tustin Ranch Rd traveling eastbound,1,"On March 28, 2022, while in supervised (“Drivered”) autonomous mode traveling eastbound on Tustin Ranch Rd in Tustin, CA, a Pony.ai Autonomous Vehicle drove over a temporary sign that had previously fallen over and was lying flat on its side in the travel lane. The impact redirected the vehicle towards the curb. The Safety Operator took control, braked, and steered the vehicle away from the direction of the curb. The right front tire scraped the right curb. The vehicle sustained minor damage to the right front strut and control arm. There were no injuries and no other vehicles involved. The Safety Operator drove the vehicle back to Pony.ai’s Irvine facility."
250,Vallejo Street and Davis Street,1,A Zoox vehicle in autonomous mode was making a left turn from Davis Street onto Vallejo Street and encountered a semi-truck flatbed parked in the intersection. The Zoox vehicle made contact with the rear right side of the truck at a very low speed. There was minor damage to the Zoox vehicle and no damage to the truck. There were no injuries and police were not called.
251,Nita Avenue and San Antonio Road,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode in the slip lane from westbound Nita Avenue to northbound San Antonio Road in Palo Alto when it was rear-ended. The Waymo AV was yielding to approaching traffic when a commercial box truck made contact with the Waymo AV’s rear bumper at approximately 3 MPH. The Waymo AV sustained minor damage to its rear bumper, and the commercial box truck left without exchanging information. Waymo contacted the Palo Alto Police Department and a police report was filed. No injuries were reported at the scene."
252,26th Street at Bartlett Street,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling northbound on Bartlett Street and turning left onto westbound 26th Street in San Francisco when it was involved in a collision. The Waymo AV had come to a complete stop at the 4-way stop sign intersection at Bartlett Street and 26th Street before proceeding to make a left turn in autonomous mode. As the Waymo AV was completing the left turn, a passenger vehicle traveling eastbound on 26th Street and turning left onto northbound Bartlett Street proceeded into the intersection without fully stopping at the stop sign. The Waymo AV began to brake for the passenger vehicle and the Waymo AV test driver disengaged autonomous mode and manually stopped the Waymo AV just prior to the passenger vehicle making contact with the driver’s side of the Waymo AV. The passenger vehicle was traveling approximately 5 MPH at the time of contact, and the Waymo AV was traveling approximately 0 MPH. The Waymo AV sustained minor damage to its driver’s side front wheel well and driver door, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported."
256,Potrero Avenue near 22nd Street,1,"On January 31, 2024 at 5:15 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Potrero Avenue near 22nd Street.The Waymo AV was traveling southbound on Potrero Avenue in the leftmost thru lane, adjacent to a dedicated left turn lane on its left. As the Waymo AV approached the intersection with 22nd Street, it came to a stop behind its lead vehicle. The passenger vehicle behind the Waymo AV then attempted to change lanes into the dedicated left turn lane, and made contact with the rear driver side corner of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage."
