Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-09-07 12:30:52,2C4RC1N76LR138968,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road boundary.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-09-22 20:51:43,JTHCYLFF9J5001363,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-09-26 16:27:01,JTHCYLFF0J5001364,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-09-26 16:37:21,JTHCYLFF9J5001363,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode near crosswalk due to overly conservative vehicle behavior.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-10-06 20:52:36,JTHCYLFF0J5001364,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road boundary.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-10-10 21:10:21,JTHCYLFF0J5001364,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode due to issue with lane change maneuver.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-10-14 17:16:47,JTHCYLFF9J5001363,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode due to inappropriate braking proposal.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-10-20 17:13:07,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-10-20 17:45:28,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode due to inappropriate steering.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-10-24 21:21:51,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,"Safety Driver disengaged autonomous mode due to inappropriate braking proposal, caused by perception issue."
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-10-25 17:31:32,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,"Safety Driver disengaged autonomous mode due to inappropriate braking proposal, caused by perception issue."
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-10-26 16:46:36,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-10-26 18:11:09,JTHCYLFF9J5001363,No,Yes,Test Driver,street,"Safety Driver disengaged autonomous mode due to inappropriate braking proposal, caused by perception issue."
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-11-02 16:45:33,JTHCYLFF9J5001363,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode due to inappropriate braking proposal.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-11-09 21:45:23,JTHCYLFF9J5001363,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode due to issue with lane change maneuver.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-11-21 21:42:00,JTHCYLFF9J5001363,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode to manually drive past pedestrians near the road.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-11-22 21:59:19,JTHCYLFF9J5001363,No,Yes,Test Driver,street,"Safety Driver disengaged autonomous mode due to inappropriate braking proposal, caused by perception issue."
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-11-29 18:33:47,JTHCYLFF9J5001363,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode due to inappropriate braking proposal.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-11-29 23:03:29,JTHCYLFF9J5001363,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road boundary.
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2022-11-30 00:06:27,JTHCYLFF9J5001363,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road boundary.
